age,gender,marital_status,dependents,education,self_employed,income_annual,loan_amount,loan_amount_term,credit_history,property_area,loan_grade,debt_to_income_ratio,delinquencies_2yrs,open_accounts,total_accounts,risk_score,default,application_date,app_year,app_month,app_quarter,app_dayofweek,app_weekend,days_since_reference,loan_to_income_ratio,monthly_payment,debt_to_income,credit_to_loan_ratio,income_per_dependent,payment_to_income_ratio,age_group,income_group,loan_amount_group,debt_burden,risk_score_bucket
32,Male,Divorced,1,Graduate,Yes,22649.0,23137.0,12,1,Rural,B,0.0245374039464343,0,5,12,463,1,2023-01-26,2023,1,1,3,0,26,1.0215462051304693,1928.0833333333333,1.0215462045892287,0.020011237411072687,11324.5,1.0215462050853659,25-34,Very Low,Small,Very Low,Poor
35,Female,Married,0,Not Graduate,Yes,57816.0,40957.0,60,1,Urban,A,0.0898393563176305,0,13,6,576,1,2023-10-17,2023,10,4,1,0,290,0.7084025183340252,682.6166666666667,0.14168050363739854,0.014063530043361,57816.0,0.1416805036643545,35-44,Low,Medium,Very Low,Fair
20,Female,Married,0,Graduate,Yes,55287.0,55649.0,12,1,Semiurban,C,0.2144796894180333,0,4,5,580,0,2023-06-11,2023,6,2,6,1,162,1.0065476513466096,4637.416666666667,1.006547651128139,0.010422469406271048,55287.0,1.0065476513284037,18-24,Low,Large,Medium,Fair
29,Male,Married,0,Graduate,No,19607.0,24402.0,48,1,Rural,A,0.1825909278087868,0,4,6,491,1,2023-02-26,2023,2,1,6,1,57,1.244555515887183,508.375,0.3111388787813706,0.02012130153183668,19607.0,0.311138878955927,25-34,Very Low,Small,Low,Poor
36,Male,Married,0,Graduate,No,107553.0,142380.0,24,0,Rural,A,0.1783350826956292,0,9,6,433,0,2023-12-04,2023,12,4,0,0,338,1.323812445956877,5932.5,0.6619062229045877,0.0030411574659148675,107553.0,0.6619062229722843,35-44,High,Very Large,Low,Poor
23,Male,Married,0,Graduate,No,44301.0,28422.0,12,1,Rural,B,0.2721680291717526,0,5,10,472,1,2023-08-03,2023,8,3,3,0,215,0.6415656531455272,2368.5,0.6415656529717436,0.016606853845028257,44301.0,0.6415656531310452,18-24,Low,Medium,Medium,Poor
38,Male,Married,1,Not Graduate,No,32333.0,22880.0,48,1,Urban,A,0.034512335835501,0,7,12,504,1,2023-04-22,2023,4,2,5,1,112,0.7076361611975381,476.6666666666667,0.17690904023372692,0.022027972027009266,16166.5,0.17690904029391305,35-44,Low,Small,Very Low,Fair
28,Male,Single,1,Graduate,No,66128.0,46627.0,36,1,Urban,A,0.3698390331311542,1,3,10,572,1,2023-10-28,2023,10,4,5,1,301,0.7051022259859666,1295.1944444444443,0.23503407528600473,0.012267570291627864,33064.0,0.23503407532510132,25-34,Medium,Medium,High,Fair
32,Male,Married,1,Graduate,No,27972.0,20227.0,36,1,Rural,A,0.2810692548445093,1,8,9,554,0,2023-08-09,2023,8,3,2,0,221,0.7231159731159731,561.8611111111111,0.2410386576019187,0.02738913333527517,13986.0,0.2410386576967072,25-34,Very Low,Small,Medium,Fair
28,Male,Married,2,Not Graduate,No,69806.0,29741.0,36,0,Semiurban,D,0.1327421082071372,1,2,8,303,1,2023-09-16,2023,9,3,5,1,259,0.42605220181646275,826.1388888888889,0.14201740058107407,0.010187956019966108,23268.666666666668,0.14201740060345316,25-34,Medium,Medium,Low,Very Poor
53,Male,Widowed,0,Graduate,No,20168.0,29907.0,12,1,Rural,D,0.0561606174007498,2,4,7,609,1,2023-07-28,2023,7,3,4,0,209,1.4828936929789767,2492.25,1.4828936920966518,0.020363125688956995,20168.0,1.4828936929054495,45-54,Very Low,Medium,Very Low,Good
34,Male,Married,1,Graduate,Yes,32501.0,12516.0,48,1,Rural,D,0.1316158044364608,0,3,11,547,0,2023-09-12,2023,9,3,1,0,255,0.3850958432048245,260.75,0.09627396076565992,0.04370405880123809,16250.5,0.09627396079824393,25-34,Low,Small,Low,Fair
24,Female,Divorced,0,Graduate,No,34762.0,13099.0,48,1,Rural,D,0.0968002656259842,1,6,10,480,1,2023-03-20,2023,3,1,0,0,79,0.37681951556297105,272.8958333333333,0.0942048788582228,0.03664401862457867,34762.0,0.09420487888803276,18-24,Low,Small,Very Low,Poor
43,Female,Divorced,0,Graduate,No,27666.0,32320.0,12,1,Semiurban,E,0.1610369025999268,0,8,7,519,0,2023-03-24,2023,3,1,4,0,83,1.168220920986048,2693.3333333333335,1.1682209204793375,0.016058168316334834,27666.0,1.168220920943822,35-44,Very Low,Medium,Low,Fair
22,Male,Single,0,Graduate,No,25125.0,10700.0,36,0,Rural,A,0.1020735544953835,0,6,6,317,1,2023-10-23,2023,10,4,0,0,296,0.42587064676616915,297.22222222222223,0.14195688218758942,0.029626168221530264,25125.0,0.1419568822497397,18-24,Very Low,Small,Low,Very Poor
37,Female,Married,1,Graduate,No,28469.0,12435.0,36,1,Urban,E,0.0795215600391647,0,3,5,586,0,2023-12-31,2023,12,4,6,1,365,0.4367908953598651,345.4166666666667,0.14559696505858433,0.047125050257569356,14234.5,0.1455969651148408,35-44,Very Low,Small,Very Low,Fair
18,Female,Married,0,Graduate,No,27829.0,20102.0,48,1,Rural,C,0.1843138159942104,1,4,12,491,1,2023-05-08,2023,5,2,0,0,128,0.7223400050307234,418.7916666666667,0.18058500117981172,0.02442543030422717,27829.0,0.18058500125119173,18-24,Very Low,Small,Low,Poor
21,Male,Divorced,1,Graduate,Yes,28723.0,40784.0,36,1,Urban,A,0.190014796701692,0,5,8,522,1,2023-04-10,2023,4,2,0,0,100,1.4199073912892108,1132.888888888889,0.47330246356533223,0.012799136916123992,14361.5,0.47330246374659213,18-24,Very Low,Medium,Low,Fair
36,Male,Married,1,Graduate,Yes,74391.0,31554.0,48,1,Urban,C,0.0778498417600945,0,5,4,770,0,2023-01-22,2023,1,1,6,1,22,0.4241642134129128,657.375,0.10604105333612274,0.02440261139556308,37195.5,0.10604105335180276,35-44,Medium,Medium,Very Low,Very Good
42,Female,Married,2,Graduate,No,45101.0,60909.0,60,1,Semiurban,B,0.1738835274429946,1,1,6,592,1,2023-06-21,2023,6,2,2,0,172,1.3505022061595087,1015.15,0.27010044116003623,0.009719417491508325,15033.666666666666,0.2701004412259129,35-44,Low,Large,Low,Fair
36,Female,Married,0,Graduate,No,34751.0,47730.0,36,0,Rural,A,0.2354615925743646,0,6,11,301,1,2023-11-24,2023,11,4,4,0,328,1.3734856550890622,1325.8333333333333,0.4578285515382596,0.006306306306174182,34751.0,0.45782855168317954,35-44,Low,Medium,Medium,Very Poor
33,Female,Single,1,Graduate,No,53236.0,11518.0,36,1,Rural,A,0.3017519004108419,0,4,5,530,1,2023-04-10,2023,4,2,0,0,100,0.21635735216770607,319.94444444444446,0.0721191173729789,0.046014933144120945,26618.0,0.07211911738788065,25-34,Low,Small,High,Fair
31,Female,Single,1,Graduate,No,34624.0,17384.0,48,1,Urban,B,0.151708202282264,0,5,6,506,1,2023-07-16,2023,7,3,6,1,197,0.5020794824399261,362.1666666666667,0.1255198705664788,0.029107225032840127,17312.0,0.12551987060635628,25-34,Low,Small,Low,Fair
20,Female,Married,0,Graduate,No,24414.0,18629.0,36,1,Rural,D,0.0852180694443825,0,7,9,524,1,2023-06-30,2023,6,2,4,0,181,0.7630457933972311,517.4722222222222,0.25434859767405926,0.028128187233446338,24414.0,0.25434859778865887,18-24,Very Low,Small,Very Low,Fair
27,Male,Married,1,Graduate,No,16271.0,8293.0,36,1,Rural,B,0.0774712664942932,1,6,7,539,0,2023-08-13,2023,8,3,6,1,225,0.5096797984143568,230.36111111111111,0.1698932660128212,0.06499457372904925,8135.5,0.16989326612767747,25-34,Very Low,Very Small,Very Low,Fair
30,Male,Married,0,Graduate,No,59540.0,21660.0,48,0,Semiurban,D,0.1489806007708564,0,4,6,328,1,2023-06-26,2023,6,2,0,0,177,0.36378904937856904,451.25,0.09094726232631227,0.015143120959596346,59540.0,0.09094726234311476,25-34,Low,Small,Low,Very Poor
45,Male,Married,2,Graduate,No,11934.0,9585.0,48,0,Urban,A,0.2203506867882986,0,3,8,324,1,2023-02-17,2023,2,1,4,0,48,0.8031674208144797,199.6875,0.2007918550017176,0.03380281689788181,3978.0,0.2007918551867947,45-54,Very Low,Very Small,Medium,Very Poor
38,Male,Single,1,Graduate,No,17080.0,9930.0,36,1,Semiurban,B,0.2018635065454896,0,7,3,549,1,2023-02-20,2023,2,1,0,0,51,0.5813817330210773,275.8333333333333,0.19379391087087078,0.05528700905787643,8540.0,0.1937939109956795,35-44,Very Low,Very Small,Medium,Fair
18,Female,Married,2,Graduate,No,46737.0,15053.0,24,1,Rural,A,0.0769417274783699,0,4,7,568,1,2023-03-25,2023,3,1,5,1,84,0.32207886685067505,627.2083333333334,0.1610394333839897,0.0377333421884187,15579.0,0.16103943342189186,18-24,Low,Small,Very Low,Fair
38,Male,Single,0,Not Graduate,No,36003.0,26781.0,36,1,Rural,D,0.1965401233057138,1,8,14,414,1,2023-03-27,2023,3,1,0,0,86,0.7438546787767686,743.9166666666666,0.24795155950961256,0.015458720734272105,36003.0,0.24795155958536924,35-44,Low,Medium,Low,Poor
31,Female,Divorced,1,Not Graduate,Yes,75326.0,98875.0,60,1,Urban,E,0.1308508153238805,0,8,9,497,0,2023-07-28,2023,7,3,4,0,209,1.3126277779252848,1647.9166666666667,0.26252555554323465,0.005026548672515535,37663.0,0.2625255555815718,25-34,Medium,Large,Low,Poor
28,Male,Widowed,0,Graduate,No,26315.0,24058.0,60,0,Urban,B,0.1737513863526334,0,1,10,300,1,2023-08-21,2023,8,3,0,0,233,0.9142314269428082,400.96666666666664,0.18284628530518127,0.01246986449362084,26315.0,0.18284628538161327,25-34,Very Low,Small,Low,Very Poor
41,Male,Married,1,Graduate,No,53354.0,44200.0,48,1,Urban,E,0.0263574183112256,0,8,6,630,0,2023-02-05,2023,2,1,6,1,36,0.8284289837687896,920.8333333333334,0.2071072458956163,0.014253393664835896,26677.0,0.20710724593831564,35-44,Low,Medium,Very Low,Good
45,Male,Single,1,Graduate,No,33248.0,34865.0,48,1,Semiurban,D,0.2207429191526203,2,4,5,561,1,2023-06-10,2023,6,2,5,1,161,1.0486345043310876,726.3541666666666,0.2621586259881526,0.016090635307153572,16624.0,0.26215862607488694,45-54,Low,Medium,Medium,Fair
44,Male,Single,1,Not Graduate,No,47791.0,24013.0,24,1,Semiurban,A,0.0518793704979946,1,3,10,468,0,2023-07-21,2023,7,3,4,0,202,0.5024586219162603,1000.5416666666666,0.2512293108950482,0.019489443217445158,23895.5,0.2512293109528734,35-44,Low,Small,Very Low,Poor
26,Female,Married,1,Not Graduate,No,39536.0,21348.0,36,1,Semiurban,B,0.1651218364049905,0,3,9,436,0,2023-11-17,2023,11,4,4,0,321,0.5399635774989883,593.0,0.17998785911169937,0.02042345887106879,19768.0,0.17998785916177693,25-34,Low,Small,Low,Poor
31,Female,Married,2,Graduate,Yes,46724.0,27873.0,24,0,Semiurban,D,0.1092035734612115,1,6,9,300,1,2023-05-16,2023,5,2,1,0,136,0.5965456724595497,1161.375,0.29827283615317024,0.010763104078830297,15574.666666666666,0.2982728362233911,25-34,Low,Medium,Low,Very Poor
38,Female,Married,0,Not Graduate,No,40436.0,36809.0,48,1,Urban,C,0.0698121119321874,0,5,4,589,1,2023-09-07,2023,9,3,3,0,250,0.910302700563854,766.8541666666666,0.22757567507342696,0.01600152136662225,40436.0,0.22757567513533544,35-44,Low,Medium,Very Low,Fair
44,Male,Single,2,Graduate,No,42055.0,27585.0,24,1,Urban,C,0.1072160684804203,0,4,8,637,1,2023-10-12,2023,10,4,3,0,285,0.6559267625728213,1149.375,0.32796338119282936,0.0230922602855504,14018.333333333334,0.3279633812786122,35-44,Low,Medium,Low,Good
30,Male,Married,1,Graduate,No,21072.0,23634.0,48,1,Urban,B,0.0073472767371507,0,9,3,549,1,2023-01-24,2023,1,1,1,0,24,1.1215831435079726,492.375,0.28039578571731444,0.023229246000540354,10536.0,0.28039578586368663,25-34,Very Low,Small,Very Low,Fair
33,Male,Married,0,Not Graduate,Yes,37715.0,20895.0,48,1,Urban,B,0.0669504721905611,0,6,4,484,1,2023-12-01,2023,12,4,4,0,335,0.5540235980379159,435.3125,0.13850589946540978,0.023163436227654297,37715.0,0.13850589950580655,25-34,Low,Small,Very Low,Poor
23,Male,Married,0,Graduate,No,49085.0,50522.0,60,1,Rural,A,0.1069870109182608,1,4,10,514,1,2023-05-07,2023,5,2,6,1,127,1.0292757461546298,842.0333333333333,0.20585514918059974,0.01017378567732525,49085.0,0.2058551492267321,18-24,Low,Large,Low,Fair
23,Female,Married,0,Not Graduate,No,35389.0,8108.0,48,0,Urban,C,0.1028981789277731,1,6,5,325,1,2023-02-08,2023,2,1,2,0,39,0.22911074062561812,168.91666666666666,0.05727768513698233,0.04008386777996006,35389.0,0.05727768515478601,18-24,Low,Very Small,Low,Very Poor
43,Female,Single,1,Graduate,Yes,34514.0,36873.0,36,1,Semiurban,D,0.081868459266099,0,5,3,565,0,2023-11-12,2023,11,4,6,1,316,1.068349075737382,1024.25,0.35611635845531103,0.015322864968531911,17257.0,0.3561163585688093,35-44,Low,Medium,Very Low,Fair
48,Female,Married,4,Graduate,No,14164.0,14664.0,36,1,Urban,D,0.1135059692060782,2,6,5,576,0,2023-12-26,2023,12,4,1,0,360,1.0353007624964699,407.3333333333333,0.3451002538731147,0.03927986906442445,2832.8,0.3451002541411254,45-54,Very Low,Small,Low,Fair
34,Male,Divorced,1,Graduate,No,78201.0,99629.0,36,1,Semiurban,C,0.1441599181551644,0,2,7,618,0,2023-04-07,2023,4,2,4,0,97,1.2740118412808021,2767.472222222222,0.4246706136951013,0.006203013178831435,39100.5,0.42467061375483683,25-34,Medium,Large,Low,Good
45,Female,Married,0,Graduate,No,18327.0,20346.0,24,1,Semiurban,B,0.1848080459746451,0,4,7,642,1,2023-02-25,2023,2,1,5,1,56,1.110165329841218,847.75,0.5550826645571565,0.03155411382917752,18327.0,0.5550826648903212,45-54,Very Low,Small,Low,Good
38,Male,Divorced,1,Graduate,No,26660.0,6840.0,24,1,Urban,A,0.1721436926620603,1,5,9,554,1,2023-09-15,2023,9,3,4,0,258,0.2565641410352588,285.0,0.12828207045988804,0.08099415203494237,13330.0,0.12828207051281762,35-44,Very Low,Very Small,Low,Fair
28,Female,Married,3,Graduate,No,24485.0,32284.0,24,0,Semiurban,D,0.1668721798880536,0,4,10,308,1,2023-01-04,2023,1,1,2,0,4,1.3185215438023279,1345.1666666666667,0.659260771578063,0.00954032957472617,6121.25,0.6592607718742389,25-34,Very Low,Medium,Low,Very Poor
38,Male,Single,1,Graduate,Yes,42124.0,18516.0,60,1,Urban,B,0.1060401851468061,2,3,5,603,1,2023-10-18,2023,10,4,2,0,291,0.4395593960687494,308.6,0.08791187918870615,0.03256642903258984,21062.0,0.08791187921166291,35-44,Low,Small,Low,Good
50,Male,Married,1,Graduate,No,43087.0,38792.0,24,0,Semiurban,C,0.2797293212514575,1,7,5,372,1,2023-08-05,2023,8,3,5,1,217,0.9003179613340451,1616.3333333333333,0.45015898054165043,0.009589606104104207,21543.5,0.45015898065657484,45-54,Low,Medium,Medium,Very Poor
34,Male,Married,1,Not Graduate,No,50497.0,28134.0,48,1,Rural,A,0.1614782496447814,2,5,10,536,0,2023-12-23,2023,12,4,5,1,357,0.5571420084361447,586.125,0.13928550207593668,0.01905168123910387,25248.5,0.13928550210627788,25-34,Low,Medium,Low,Fair
50,Female,Married,0,Graduate,No,51632.0,11470.0,24,1,Semiurban,A,0.1049052451425916,0,7,4,629,0,2023-09-03,2023,9,3,6,1,246,0.2221490548497056,477.9166666666667,0.11107452739903752,0.0548387096726383,51632.0,0.11107452742270153,45-54,Low,Small,Low,Good
18,Male,Single,1,Graduate,No,85968.0,31128.0,60,1,Rural,A,0.1467022956930353,1,5,7,571,1,2023-05-11,2023,5,2,3,0,131,0.3620882188721385,518.8,0.07241764376431914,0.018343613466385775,42984.0,0.07241764377358531,18-24,Medium,Medium,Low,Fair
43,Male,Married,1,Graduate,No,31172.0,11999.0,36,1,Urban,D,0.1533194513838963,0,6,8,612,0,2023-06-18,2023,6,2,6,1,169,0.3849287822404722,333.30555555555554,0.12830959403076325,0.051004250349945476,15586.0,0.12830959407604123,35-44,Low,Small,Low,Good
35,Female,Single,0,Graduate,Yes,23965.0,21979.0,36,0,Urban,C,0.1794325913156184,0,10,6,300,1,2023-05-10,2023,5,2,2,0,130,0.9171291466722303,610.5277777777778,0.30570971540433206,0.01364939260140819,23965.0,0.30570971554465365,35-44,Very Low,Small,Low,Very Poor
32,Male,Single,1,Graduate,No,32292.0,42132.0,36,1,Urban,C,0.1954897125436651,1,6,8,547,1,2023-09-23,2023,9,3,5,1,266,1.3047194351542177,1170.3333333333333,0.43490647822312406,0.012983005791014359,16146.0,0.43490647837127133,25-34,Low,Medium,Low,Fair
35,Male,Married,0,Graduate,No,20897.0,30542.0,48,1,Urban,E,0.2440294550034221,1,6,5,579,0,2023-10-12,2023,10,4,3,0,285,1.4615495047135953,636.2916666666666,0.36538737596857684,0.018957501145342233,20897.0,0.36538737616091366,35-44,Very Low,Medium,Medium,Fair
18,Male,Married,1,Graduate,Yes,30557.0,41669.0,24,1,Semiurban,A,0.3324692067444779,1,7,8,567,1,2023-03-21,2023,3,1,1,0,80,1.363648263900252,1736.2083333333333,0.6818241316823678,0.013607237994345742,15278.5,0.6818241319278128,18-24,Low,Medium,High,Fair
32,Male,Divorced,0,Graduate,Yes,16721.0,13023.0,48,1,Semiurban,A,0.0336925506972679,0,8,9,489,1,2023-06-18,2023,6,2,6,1,169,0.7788409784103821,271.3125,0.19471024446285967,0.037548951851528144,16721.0,0.19471024459095088,25-34,Very Low,Small,Very Low,Poor
38,Female,Married,0,Graduate,No,23912.0,34979.0,48,1,Rural,A,0.1627820619786762,0,2,5,532,1,2023-04-13,2023,4,2,3,0,103,1.4628220140515222,728.7291666666666,0.3657055033293548,0.015209125474850364,23912.0,0.36570550349758674,35-44,Very Low,Medium,Low,Fair
49,Female,Married,0,Not Graduate,No,15619.0,4204.0,24,0,Rural,B,0.0897138585455507,3,10,3,317,1,2023-04-22,2023,4,2,5,1,112,0.2691593571931622,175.16666666666666,0.13457967849318417,0.07540437676607888,15619.0,0.13457967858796469,45-54,Very Low,Very Small,Very Low,Very Poor
29,Male,Married,1,Graduate,No,66453.0,84507.0,12,1,Semiurban,D,0.1230256261457436,1,8,2,626,1,2023-10-15,2023,10,4,6,1,288,1.27168073676132,7042.25,1.2716807365316813,0.007407670370414195,33226.5,1.2716807367421836,25-34,Medium,Large,Low,Good
26,Female,Married,1,Not Graduate,No,38389.0,22691.0,48,1,Semiurban,D,0.1116042764607484,0,8,8,444,1,2023-01-22,2023,1,1,6,1,22,0.5910807783479642,472.7291666666667,0.14777019454079965,0.01956722929709721,19194.5,0.14777019458314178,25-34,Low,Small,Low,Poor
29,Male,Single,0,Graduate,No,92981.0,129484.0,24,0,Urban,C,0.0485859751480536,0,10,8,361,1,2023-07-29,2023,7,3,5,1,210,1.3925855820006239,5395.166666666667,0.6962927909104493,0.0027879892496154896,92981.0,0.6962927909928234,25-34,Medium,Very Large,Very Low,Very Poor
44,Male,Divorced,0,Graduate,No,63277.0,71283.0,60,1,Semiurban,C,0.1391469087603438,2,3,10,622,1,2023-06-01,2023,6,2,3,0,152,1.1265230652527776,1188.05,0.2253046130078282,0.008725783145929243,63277.0,0.22530461304699487,35-44,Medium,Large,Low,Good
38,Male,Married,2,Graduate,No,66476.0,77462.0,24,1,Urban,D,0.108533958875773,0,9,10,663,0,2023-06-13,2023,6,2,1,0,164,1.1652626511823816,3227.5833333333335,0.5826313254860164,0.008559035397891109,22158.666666666668,0.5826313255824264,35-44,Medium,Large,Low,Good
29,Male,Divorced,1,Not Graduate,No,33865.0,22301.0,48,1,Semiurban,C,0.0561628167413064,0,6,5,372,1,2023-08-24,2023,8,3,3,0,236,0.6585265022884984,464.6041666666667,0.1646316255137877,0.01668086632811619,16932.5,0.1646316255672632,25-34,Low,Small,Very Low,Very Poor
40,Male,Married,0,Graduate,No,46398.0,13788.0,48,1,Rural,B,0.1471734906965071,1,7,6,634,0,2023-07-08,2023,7,3,5,1,189,0.2971679813785077,287.25,0.07429199532541265,0.04598201334160269,46398.0,0.07429199534302573,35-44,Low,Small,Low,Good
35,Female,Single,0,Graduate,No,23197.0,13809.0,48,0,Semiurban,C,0.068356625845348,1,4,11,311,1,2023-04-22,2023,4,2,5,1,112,0.5952924947191447,287.6875,0.14882312360279876,0.02252154391900054,23197.0,0.14882312367337056,35-44,Very Low,Small,Very Low,Very Poor
44,Female,Married,0,Graduate,No,27828.0,25327.0,36,1,Urban,D,0.0748295943806576,2,4,11,650,0,2023-11-24,2023,11,4,4,0,328,0.9101264913037229,703.5277777777778,0.3033754969704193,0.025664310813532425,27828.0,0.3033754970903392,35-44,Very Low,Medium,Very Low,Good
27,Male,Single,0,Graduate,No,36570.0,50769.0,60,1,Rural,C,0.2358399576314119,0,4,12,476,1,2023-07-09,2023,7,3,6,1,190,1.3882690730106644,846.15,0.27765381451102417,0.009375800192846504,36570.0,0.27765381459454047,25-34,Low,Large,Medium,Poor
