age,gender,marital_status,dependents,education,self_employed,income_annual,loan_amount,loan_amount_term,credit_history,property_area,loan_grade,debt_to_income_ratio,delinquencies_2yrs,open_accounts,total_accounts,risk_score,default,application_date
22,Male,Single,0,Graduate,No,25125,10700,36,0,Rural,A,0.10207355449538352,0,6,6,317,1,2023-10-23
37,Female,Married,1,Graduate,No,28469,12435,36,1,Urban,E,0.07952156003916473,0,3,5,586,0,2023-12-31
18,Female,Married,0,Graduate,No,27829,20102,48,1,Rural,C,0.18431381599421043,1,4,12,491,1,2023-05-08
21,Male,Divorced,1,Graduate,Yes,28723,40784,36,1,Urban,A,0.19001479670169202,0,5,8,522,1,2023-04-10
36,Male,Married,1,Graduate,Yes,74391,31554,48,1,Urban,C,0.0778498417600945,0,5,4,770,0,2023-01-22
42,Female,Married,2,Graduate,No,45101,60909,60,1,Semiurban,B,0.1738835274429946,1,1,6,592,1,2023-06-21
36,Female,Married,0,Graduate,No,34751,47730,36,0,Rural,A,0.23546159257436464,0,6,11,301,1,2023-11-24
33,Female,Single,1,Graduate,No,53236,11518,36,1,Rural,A,0.3017519004108419,0,4,5,530,1,2023-04-10
31,Female,Single,1,Graduate,No,34624,17384,48,1,Urban,B,0.15170820228226403,0,5,6,506,1,2023-07-16
20,Female,Married,0,Graduate,No,24414,18629,36,1,Rural,D,0.08521806944438255,0,7,9,524,1,2023-06-30
27,Male,Married,1,Graduate,No,16271,8293,36,1,Rural,B,0.07747126649429324,1,6,7,539,0,2023-08-13
30,Male,Married,0,Graduate,No,59540,21660,48,0,Semiurban,D,0.14898060077085645,0,4,6,328,1,2023-06-26
45,Male,Married,2,Graduate,No,11934,9585,48,0,Urban,A,0.2203506867882986,0,3,8,324,1,2023-02-17
38,Male,Single,1,Graduate,No,17080,9930,36,1,Semiurban,B,0.20186350654548968,0,7,3,549,1,2023-02-20
18,Female,Married,2,Graduate,No,46737,15053,24,1,Rural,A,0.07694172747836994,0,4,7,568,1,2023-03-25
38,Male,Single,0,Not Graduate,No,36003,26781,36,1,Rural,D,0.19654012330571383,1,8,14,414,1,2023-03-27
31,Female,Divorced,1,Not Graduate,Yes,75326,98875,60,1,Urban,E,0.1308508153238805,0,8,9,497,0,2023-07-28
28,Male,Widowed,0,Graduate,No,26315,24058,60,0,Urban,B,0.17375138635263343,0,1,10,300,1,2023-08-21
41,Male,Married,1,Graduate,No,53354,44200,48,1,Urban,E,0.026357418311225626,0,8,6,630,0,2023-02-05
45,Male,Single,1,Graduate,No,33248,34865,48,1,Semiurban,D,0.22074291915262037,2,4,5,561,1,2023-06-10
44,Male,Single,1,Not Graduate,No,47791,24013,24,1,Semiurban,A,0.05187937049799469,1,3,10,468,0,2023-07-21
26,Female,Married,1,Not Graduate,No,39536,21348,36,1,Semiurban,B,0.1651218364049905,0,3,9,436,0,2023-11-17
31,Female,Married,2,Graduate,Yes,46724,27873,24,0,Semiurban,D,0.10920357346121155,1,6,9,300,1,2023-05-16
38,Female,Married,0,Not Graduate,No,40436,36809,48,1,Urban,C,0.06981211193218749,0,5,4,589,1,2023-09-07
44,Male,Single,2,Graduate,No,42055,27585,24,1,Urban,C,0.10721606848042037,0,4,8,637,1,2023-10-12
30,Male,Married,1,Graduate,No,21072,23634,48,1,Urban,B,0.007347276737150749,0,9,3,549,1,2023-01-24
33,Male,Married,0,Not Graduate,Yes,37715,20895,48,1,Urban,B,0.06695047219056115,0,6,4,484,1,2023-12-01
23,Male,Married,0,Graduate,No,49085,50522,60,1,Rural,A,0.10698701091826084,1,4,10,514,1,2023-05-07
23,Female,Married,0,Not Graduate,No,35389,8108,48,0,Urban,C,0.10289817892777313,1,6,5,325,1,2023-02-08
43,Female,Single,1,Graduate,Yes,34514,36873,36,1,Semiurban,D,0.081868459266099,0,5,3,565,0,2023-11-12
48,Female,Married,4,Graduate,No,14164,14664,36,1,Urban,D,0.11350596920607829,2,6,5,576,0,2023-12-26
34,Male,Divorced,1,Graduate,No,78201,99629,36,1,Semiurban,C,0.14415991815516443,0,2,7,618,0,2023-04-07
45,Female,Married,0,Graduate,No,18327,20346,24,1,Semiurban,B,0.18480804597464517,0,4,7,642,1,2023-02-25
38,Male,Divorced,1,Graduate,No,26660,6840,24,1,Urban,A,0.17214369266206034,1,5,9,554,1,2023-09-15
28,Female,Married,3,Graduate,No,24485,32284,24,0,Semiurban,D,0.16687217988805364,0,4,10,308,1,2023-01-04
38,Male,Single,1,Graduate,Yes,42124,18516,60,1,Urban,B,0.10604018514680616,2,3,5,603,1,2023-10-18
50,Male,Married,1,Graduate,No,43087,38792,24,0,Semiurban,C,0.2797293212514575,1,7,5,372,1,2023-08-05
34,Male,Married,1,Not Graduate,No,50497,28134,48,1,Rural,A,0.16147824964478147,2,5,10,536,0,2023-12-23
50,Female,Married,0,Graduate,No,51632,11470,24,1,Semiurban,A,0.10490524514259168,0,7,4,629,0,2023-09-03
18,Male,Single,1,Graduate,No,85968,31128,60,1,Rural,A,0.14670229569303536,1,5,7,571,1,2023-05-11
43,Male,Married,1,Graduate,No,31172,11999,36,1,Urban,D,0.15331945138389633,0,6,8,612,0,2023-06-18
35,Female,Single,0,Graduate,Yes,23965,21979,36,0,Urban,C,0.17943259131561845,0,10,6,300,1,2023-05-10
32,Male,Single,1,Graduate,No,32292,42132,36,1,Urban,C,0.19548971254366518,1,6,8,547,1,2023-09-23
35,Male,Married,0,Graduate,No,20897,30542,48,1,Urban,E,0.2440294550034221,1,6,5,579,0,2023-10-12
18,Male,Married,1,Graduate,Yes,30557,41669,24,1,Semiurban,A,0.33246920674447794,1,7,8,567,1,2023-03-21
32,Male,Divorced,0,Graduate,Yes,16721,13023,48,1,Semiurban,A,0.03369255069726796,0,8,9,489,1,2023-06-18
38,Female,Married,0,Graduate,No,23912,34979,48,1,Rural,A,0.16278206197867626,0,2,5,532,1,2023-04-13
49,Female,Married,0,Not Graduate,No,15619,4204,24,0,Rural,B,0.08971385854555072,3,10,3,317,1,2023-04-22
29,Male,Married,1,Graduate,No,66453,84507,12,1,Semiurban,D,0.1230256261457436,1,8,2,626,1,2023-10-15
26,Female,Married,1,Not Graduate,No,38389,22691,48,1,Semiurban,D,0.11160427646074843,0,8,8,444,1,2023-01-22
29,Male,Single,0,Graduate,No,92981,129484,24,0,Urban,C,0.04858597514805364,0,10,8,361,1,2023-07-29
44,Male,Divorced,0,Graduate,No,63277,71283,60,1,Semiurban,C,0.13914690876034386,2,3,10,622,1,2023-06-01
38,Male,Married,2,Graduate,No,66476,77462,24,1,Urban,D,0.10853395887577304,0,9,10,663,0,2023-06-13
29,Male,Divorced,1,Not Graduate,No,33865,22301,48,1,Semiurban,C,0.056162816741306444,0,6,5,372,1,2023-08-24
40,Male,Married,0,Graduate,No,46398,13788,48,1,Rural,B,0.14717349069650712,1,7,6,634,0,2023-07-08
35,Female,Single,0,Graduate,No,23197,13809,48,0,Semiurban,C,0.06835662584534805,1,4,11,311,1,2023-04-22
44,Female,Married,0,Graduate,No,27828,25327,36,1,Urban,D,0.07482959438065766,2,4,11,650,0,2023-11-24
27,Male,Single,0,Graduate,No,36570,50769,60,1,Rural,C,0.23583995763141197,0,4,12,476,1,2023-07-09
31,Male,Married,0,Not Graduate,Yes,15220,20098,48,1,Urban,B,0.03196712020433342,1,4,8,442,1,2023-09-26
31,Female,Single,0,Not Graduate,No,28190,21784,36,1,Rural,B,0.14454768613047556,0,6,10,418,1,2023-12-06
20,Female,Married,0,Not Graduate,No,53985,14869,48,1,Rural,B,0.22943667525066727,0,3,9,456,1,2023-12-30
37,Female,Widowed,0,Graduate,No,28421,34455,36,1,Semiurban,A,0.16672044397544372,0,8,7,554,0,2023-05-28
37,Male,Married,0,Not Graduate,No,25131,35671,60,1,Urban,B,0.22657754721225798,1,6,2,569,0,2023-02-22
35,Female,Divorced,1,Graduate,No,29964,31852,60,1,Rural,A,0.08969037656029992,1,6,6,483,1,2023-11-14
32,Male,Married,1,Graduate,No,52787,16176,24,1,Semiurban,B,0.030175591001014454,0,3,8,576,1,2023-06-10
20,Male,Married,0,Not Graduate,No,43498,9873,24,0,Urban,A,0.14400326403961658,1,5,6,300,1,2023-02-18
30,Male,Divorced,0,Graduate,No,32446,46354,60,1,Semiurban,E,0.13815934488916193,0,2,11,477,1,2023-08-28
31,Male,Divorced,0,Graduate,Yes,36637,50581,24,1,Semiurban,B,0.12763013472805576,1,6,8,564,0,2023-08-06
26,Male,Married,1,Graduate,No,55743,17247,60,1,Urban,B,0.11051204583137342,0,4,8,686,0,2023-02-20
33,Male,Single,0,Graduate,No,69821,56247,48,0,Urban,A,0.0649980578480914,4,6,4,334,1,2023-02-12
39,Male,Married,0,Graduate,No,28641,10816,12,1,Urban,A,0.11727208015438065,2,1,6,629,1,2023-12-11
53,Female,Single,1,Graduate,No,34848,26959,36,1,Urban,C,0.04109289978320981,1,7,8,637,0,2023-09-02
36,Male,Married,1,Not Graduate,Yes,67671,39525,36,1,Urban,A,0.41988304153912087,1,9,7,559,1,2023-12-03
37,Male,Married,2,Not Graduate,No,47166,56186,48,0,Urban,C,0.06413582173456506,0,5,8,318,1,2023-04-23
34,Male,Divorced,2,Not Graduate,No,18007,26211,36,0,Urban,A,0.08520245278811393,1,2,12,300,1,2023-08-10
18,Female,Divorced,0,Graduate,No,23234,8380,36,1,Urban,B,0.16873992992584566,0,4,10,482,0,2023-04-22
34,Male,Married,2,Not Graduate,No,23598,18736,60,0,Rural,C,0.02905676423321417,1,4,10,300,0,2023-12-14
35,Male,Single,1,Not Graduate,Yes,29500,37652,12,1,Semiurban,E,0.23494505517726977,1,6,8,421,1,2023-04-10
59,Male,Divorced,0,Graduate,No,43691,56631,36,1,Semiurban,B,0.1757975486948695,1,4,10,666,1,2023-06-26
33,Female,Single,1,Graduate,No,93210,61402,36,1,Semiurban,D,0.35330048738200176,1,4,5,615,0,2023-09-16
38,Female,Married,3,Graduate,No,34839,31764,12,0,Urban,D,0.08007920230321572,1,5,5,347,1,2023-02-26
34,Male,Single,0,Graduate,No,50501,56970,12,1,Rural,B,0.07708178818899077,2,5,14,548,0,2023-08-14
23,Male,Married,0,Graduate,No,64017,94031,36,0,Semiurban,D,0.04565077110556367,0,9,5,300,1,2023-06-03
46,Female,Widowed,1,Graduate,No,76374,90966,24,0,Semiurban,C,0.15179873478437234,0,2,5,419,1,2023-10-20
42,Male,Single,0,Graduate,No,64049,74038,36,0,Rural,A,0.13999824090763793,0,4,4,328,1,2023-08-08
42,Female,Married,2,Graduate,No,24997,33903,48,0,Rural,E,0.04065509535891912,0,3,3,300,1,2023-02-06
25,Male,Married,1,Graduate,Yes,17582,23486,48,1,Urban,A,0.08756707938873275,1,3,7,523,1,2023-03-01
49,Male,Divorced,1,Not Graduate,Yes,26520,14471,36,1,Rural,B,0.11326849977053366,1,2,8,438,1,2023-04-05
20,Male,Divorced,2,Not Graduate,No,39507,50815,36,1,Rural,B,0.27309011428319974,0,3,6,415,1,2023-05-06
40,Male,Single,1,Graduate,Yes,25046,10941,24,1,Rural,C,0.23193271932583515,0,5,10,492,1,2023-06-06
56,Female,Single,0,Graduate,No,16114,6919,24,1,Urban,C,0.06908981756941784,1,5,11,652,0,2023-09-02
25,Female,Married,0,Graduate,Yes,19777,6471,36,1,Rural,B,0.09764893764419465,1,7,8,489,1,2023-05-12
29,Male,Married,0,Graduate,No,163291,167244,60,0,Semiurban,B,0.1463769515576079,0,6,6,395,1,2023-06-17
35,Female,Married,2,Graduate,No,32544,20584,24,0,Semiurban,A,0.09492853461196575,0,3,6,319,1,2023-11-25
29,Male,Single,1,Not Graduate,No,89327,41599,36,0,Urban,A,0.13320894484515625,0,8,9,306,1,2023-03-12
19,Male,Single,2,Graduate,No,32293,19240,48,1,Urban,D,0.11442345800371394,0,7,10,495,1,2023-06-26
35,Male,Married,2,Not Graduate,No,53976,54422,48,1,Urban,D,0.22501007170299767,1,5,7,520,1,2023-04-30
24,Female,Single,2,Not Graduate,No,33806,49308,60,1,Semiurban,B,0.19777595923843916,0,7,8,364,1,2023-10-22
39,Female,Divorced,2,Graduate,No,36448,13516,24,1,Urban,A,0.08349283897817991,0,6,12,560,1,2023-01-11
25,Female,Single,0,Graduate,No,53594,28377,12,1,Urban,B,0.055047337513616505,1,2,7,534,1,2023-03-01
50,Female,Single,0,Graduate,Yes,29696,32736,36,1,Rural,B,0.27434714511126973,0,9,8,638,0,2023-04-18
27,Female,Widowed,2,Graduate,No,19988,9019,24,1,Rural,D,0.11386053584485463,0,5,8,523,1,2023-11-14
31,Female,Married,3,Graduate,No,24279,33627,36,0,Semiurban,A,0.1626906838227134,1,3,8,313,1,2023-09-12
43,Female,Married,1,Not Graduate,No,24214,22779,60,1,Rural,B,0.11446283886802867,1,2,5,422,1,2023-05-31
22,Female,Single,1,Not Graduate,No,37868,36892,48,1,Semiurban,C,0.08575119170911527,0,2,8,351,1,2023-12-01
37,Male,Married,1,Not Graduate,Yes,14072,20255,24,1,Urban,E,0.16435261086521596,1,8,7,492,1,2023-06-19
48,Male,Married,1,Graduate,Yes,42302,47894,24,1,Semiurban,A,0.13478004642273506,0,5,9,644,0,2023-02-20
18,Male,Married,0,Graduate,No,68401,50418,60,1,Semiurban,A,0.14401657658850017,0,2,9,576,1,2023-09-14
36,Male,Divorced,0,Graduate,No,28169,29819,36,1,Urban,E,0.16446663382187318,0,1,12,542,0,2023-12-02
37,Male,Married,0,Graduate,Yes,26178,8888,60,1,Urban,B,0.05706925695145726,0,8,5,646,0,2023-02-04
42,Male,Married,0,Graduate,No,97116,101585,48,1,Urban,C,0.0662977965120729,1,6,7,746,1,2023-04-25
22,Female,Married,2,Graduate,No,75810,85064,60,1,Semiurban,D,0.13953915147151538,1,5,12,610,1,2023-09-15
21,Male,Married,1,Graduate,No,44971,19046,60,1,Urban,B,0.19491848205961765,0,5,9,545,0,2023-03-14
40,Male,Single,0,Not Graduate,No,24990,28848,36,1,Rural,B,0.10804285792740784,0,5,6,442,1,2023-05-02
37,Male,Married,1,Not Graduate,No,48626,15092,48,1,Urban,B,0.12784446196030522,0,5,10,535,1,2023-08-31
37,Female,Married,1,Graduate,No,21932,10054,36,1,Semiurban,D,0.0710246814202006,0,3,8,514,1,2023-01-12
38,Male,Married,3,Not Graduate,Yes,18742,15213,24,0,Rural,D,0.09180549452987345,0,5,5,300,1,2023-11-03
28,Male,Married,1,Graduate,Yes,45528,51171,24,1,Rural,C,0.08961432859595177,1,6,7,571,0,2023-01-01
37,Female,Married,1,Graduate,Yes,28591,28393,36,1,Rural,B,0.15010635580347545,0,5,7,613,1,2023-05-01
37,Female,Divorced,1,Not Graduate,No,13205,5724,24,1,Urban,B,0.16482748925413576,1,7,8,407,1,2023-04-02
27,Male,Single,1,Graduate,No,48697,12538,24,1,Rural,B,0.2963328644162225,0,3,11,509,1,2023-10-13
53,Male,Married,0,Not Graduate,No,75364,56188,36,1,Semiurban,E,0.16415409860421523,1,6,6,644,0,2023-01-11
39,Male,Married,1,Graduate,No,50504,53671,60,1,Rural,D,0.3019349918462476,0,3,6,542,1,2023-11-13
23,Female,Married,0,Not Graduate,No,28299,18314,36,1,Rural,B,0.11277841762130467,0,5,3,405,1,2023-06-12
41,Male,Married,0,Not Graduate,No,12454,7977,36,1,Urban,B,0.03133524988596367,0,2,10,476,0,2023-09-21
25,Male,Single,0,Graduate,No,39072,38675,24,1,Semiurban,D,0.09374500140167019,0,3,10,472,1,2023-03-29
42,Male,Married,3,Graduate,No,26148,22108,24,1,Urban,B,0.17188901127633788,0,7,6,615,0,2023-09-17
46,Male,Single,1,Graduate,Yes,23141,31557,48,1,Urban,C,0.22355597145286052,0,7,6,637,1,2023-02-26
26,Female,Widowed,1,Graduate,No,13720,10178,48,1,Semiurban,B,0.18416166741188109,2,7,6,497,1,2023-09-02
44,Male,Married,1,Graduate,Yes,92827,39475,36,1,Semiurban,B,0.12778638932573488,0,10,14,740,0,2023-09-06
39,Male,Divorced,0,Not Graduate,No,20981,8822,36,0,Semiurban,A,0.08498393006277166,1,5,6,300,1,2023-12-15
43,Male,Married,0,Graduate,No,14606,3040,48,1,Rural,A,0.1241923759199196,1,6,6,585,1,2023-09-16
53,Male,Married,1,Not Graduate,No,84738,42467,12,0,Semiurban,A,0.12387946501937398,0,6,5,368,1,2023-11-04
32,Male,Married,0,Not Graduate,No,36883,37356,36,1,Rural,B,0.04764109292839322,0,4,7,463,1,2023-01-25
27,Female,Divorced,0,Graduate,Yes,34131,17075,48,1,Rural,A,0.25095782214626344,1,5,7,496,1,2023-08-07
26,Female,Divorced,1,Graduate,Yes,42391,33839,48,0,Rural,B,0.10839860974277388,0,3,4,312,1,2023-05-12
26,Female,Single,0,Graduate,No,45154,11686,12,1,Rural,A,0.04098900616610113,0,7,4,511,0,2023-04-18
34,Female,Married,0,Graduate,No,40401,26352,24,1,Semiurban,B,0.313913912677623,0,4,10,635,0,2023-03-01
38,Female,Married,2,Graduate,No,17096,17284,48,1,Semiurban,C,0.17320282272465454,0,5,4,501,0,2023-03-27
37,Male,Single,1,Graduate,No,16446,21473,24,1,Rural,E,0.15455575493354085,1,8,8,499,1,2023-08-09
43,Female,Married,3,Graduate,Yes,25223,11202,48,1,Semiurban,B,0.04492526845751131,0,3,6,662,1,2023-09-27
35,Female,Divorced,0,Graduate,No,28140,12609,12,1,Semiurban,A,0.28169576736821883,0,7,8,529,1,2023-07-07
49,Female,Married,0,Not Graduate,No,30332,26099,24,1,Rural,B,0.05620371226309868,0,4,3,523,1,2023-05-20
32,Male,Married,0,Not Graduate,No,40712,48125,24,1,Rural,D,0.12689497040218503,1,4,4,493,1,2023-10-30
62,Male,Married,0,Graduate,No,31578,24888,60,1,Urban,B,0.1818293265606903,1,3,13,727,0,2023-07-30
41,Female,Married,0,Graduate,No,25839,6927,48,1,Semiurban,B,0.33506367677352156,0,3,9,604,0,2023-10-22
26,Female,Single,2,Not Graduate,No,44238,41843,60,1,Semiurban,E,0.12870541891910647,0,3,7,378,1,2023-05-18
24,Female,Married,1,Not Graduate,No,51891,62709,36,0,Urban,B,0.10173935135206288,1,6,10,300,1,2023-08-20
39,Male,Divorced,0,Graduate,No,24236,9935,48,0,Rural,E,0.28736931622658163,0,6,6,310,1,2023-12-17
32,Male,Married,0,Graduate,Yes,18325,26995,60,1,Rural,D,0.1011346897945947,0,6,8,480,0,2023-01-24
42,Male,Single,1,Graduate,No,39739,23814,36,1,Urban,C,0.056029002967342256,1,2,5,635,0,2023-09-03
39,Female,Single,2,Graduate,No,29427,34361,60,0,Urban,C,0.09770734938690355,0,6,10,320,1,2023-09-24
34,Male,Single,0,Graduate,No,55162,15516,60,1,Rural,B,0.16690239077203514,0,5,7,555,0,2023-01-20
26,Male,Married,2,Graduate,No,22189,22768,60,1,Urban,C,0.0342206228995384,0,5,8,532,1,2023-09-11
19,Female,Married,0,Graduate,No,19872,20214,60,1,Semiurban,B,0.18065835317872384,0,3,6,512,0,2023-07-28
30,Male,Single,1,Graduate,No,26458,28870,48,0,Urban,B,0.3089010881923994,0,3,8,313,1,2023-04-15
43,Female,Divorced,3,Graduate,Yes,47093,34654,60,0,Rural,A,0.19576153671734645,1,4,8,307,1,2023-05-02
37,Male,Married,1,Graduate,No,30460,42306,36,0,Rural,B,0.05359395491543701,2,2,7,310,1,2023-08-19
22,Female,Married,0,Not Graduate,No,34741,27302,48,1,Urban,C,0.029364834947233562,2,7,6,448,1,2023-07-05
36,Male,Widowed,0,Graduate,No,28350,33969,24,1,Rural,B,0.33138219755672366,0,9,6,570,1,2023-12-01
38,Female,Single,2,Not Graduate,Yes,60339,63859,48,1,Rural,B,0.04989074327885116,2,6,6,479,1,2023-12-21
26,Female,Divorced,1,Graduate,No,46236,44371,48,1,Semiurban,B,0.06473699397087472,0,1,8,504,0,2023-08-06
36,Male,Single,0,Graduate,No,16961,17097,48,1,Urban,C,0.19682915581375882,1,5,7,509,1,2023-07-02
35,Male,Married,0,Graduate,No,56987,74623,48,0,Rural,B,0.15554253858052125,2,10,10,324,1,2023-09-13
23,Male,Divorced,1,Graduate,No,48786,68916,36,0,Urban,C,0.08732360479954863,1,7,9,313,1,2023-01-03
38,Female,Divorced,1,Graduate,Yes,62466,78283,36,1,Semiurban,C,0.01995892621651914,0,5,6,567,1,2023-10-07
40,Female,Married,0,Graduate,Yes,27879,28194,12,1,Urban,D,0.15329652694926046,1,6,6,652,0,2023-01-05
45,Male,Married,1,Not Graduate,No,22708,14657,24,1,Semiurban,C,0.09497303104312635,0,4,9,510,0,2023-08-19
45,Female,Married,2,Not Graduate,No,34844,25394,48,0,Urban,E,0.13252206480495987,1,3,9,301,1,2023-03-24
21,Male,Divorced,1,Graduate,No,39400,20251,36,0,Semiurban,B,0.23883388802511146,2,3,11,300,1,2023-11-28
25,Female,Single,0,Not Graduate,No,65688,38773,24,1,Urban,B,0.22786807587971525,0,5,8,500,1,2023-04-24
40,Female,Divorced,1,Graduate,Yes,49924,71836,24,0,Semiurban,C,0.2575854063516281,0,4,8,304,1,2023-03-21
40,Male,Married,0,Graduate,No,39126,26084,36,0,Rural,A,0.23328033209622343,1,3,7,304,1,2023-12-06
40,Male,Married,1,Graduate,No,34072,32976,48,1,Urban,D,0.16556100899034382,0,3,6,701,0,2023-04-11
73,Male,Married,0,Graduate,Yes,36593,8291,48,1,Rural,B,0.061045644429078,0,8,8,747,0,2023-06-19
40,Male,Married,3,Graduate,No,29817,22508,12,1,Urban,C,0.09311467021733749,1,3,10,657,0,2023-08-10
46,Male,Divorced,1,Graduate,No,50994,66279,48,1,Semiurban,C,0.11437426876616212,0,6,5,581,1,2023-10-03
44,Male,Married,2,Graduate,No,17569,24638,24,1,Semiurban,A,0.2174396367963637,0,3,15,529,1,2023-09-04
41,Male,Widowed,1,Graduate,No,36473,33665,48,1,Semiurban,C,0.1812207313402002,1,8,8,588,0,2023-01-09
31,Male,Single,0,Graduate,Yes,61210,51622,24,1,Urban,D,0.26337040708658044,1,6,11,636,0,2023-12-27
42,Male,Married,0,Graduate,No,20581,5013,60,1,Urban,E,0.06541859879385425,0,6,10,636,1,2023-10-10
27,Male,Divorced,0,Graduate,No,96022,75090,12,0,Urban,B,0.2336689117769382,0,4,7,381,1,2023-08-15
32,Male,Married,0,Graduate,No,21191,16152,48,1,Rural,C,0.18344705208380535,0,3,10,500,1,2023-07-06
30,Female,Married,0,Not Graduate,No,28216,28807,36,1,Semiurban,D,0.19948335264108877,0,5,12,457,0,2023-12-30
35,Female,Married,2,Graduate,No,60655,59581,12,1,Rural,B,0.35148856547795354,0,3,9,572,1,2023-05-17
58,Male,Divorced,1,Graduate,No,75058,96277,12,1,Rural,A,0.15842688696899399,0,4,7,721,0,2023-09-21
18,Male,Divorced,0,Graduate,No,43422,9029,36,0,Rural,A,0.2140900517216528,2,3,11,300,1,2023-11-25
41,Female,Single,1,Not Graduate,No,42854,31047,48,1,Semiurban,E,0.03161888605436998,0,3,5,425,1,2023-02-07
18,Female,Divorced,1,Graduate,No,88781,48985,12,0,Urban,B,0.10973909212736194,0,3,6,329,1,2023-08-30
30,Male,Married,0,Graduate,No,18323,23241,48,1,Rural,D,0.10120763038798883,1,3,3,474,1,2023-10-15
45,Male,Single,3,Graduate,No,15330,21995,48,0,Urban,B,0.07818872236617218,0,4,9,300,1,2023-06-03
